Topic,Title,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,The ethics of sourcing,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"David Boardman, Aidan White, Margaret Sullivan, Wendy Ruderman - **Moderated by David Boardman, Temple University
Using and identifying sensitive sources in investigative reporting has always been a tricky balancing act. But never has it been as challenging as it is today -- with the added pressures of a 24/7 news cycle, intense competition on social media and ever-changing expectations from both the public and the sources themselves. Explore these and other ethical issues concerning sourcing, with a panel that includes Pulitzer winners, an ethicist and the renowned public editor of The New York Times.
 | URL: http://ire.org/events-and-training/event/1574/1918/",Franklin 9&10,False
,Show & Tell (Thursday - #4),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Tom Dolan - **Moderated by Tom Dolan, Dolan Media Management
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2063/",Franklin 8,False
,INN: Workshops (choose one): Measuring metrics; Do's and don'ts of grant writing; Technology innovation; Creative Marketing,2015-06-04,3:40 p.m.,2015-06-04,4:50 p.m.,False,"Lauren Fuhrmann, Adam Schweigert, Irma Simpson - -Measuring metrics: What really tells the story of your audience and impactA discussion of the many different ways to measure impact both qualitatively and quantitatively.
-Do's and don'ts of grant writing Irma Simpson details practical tips for grant writing and dissects a successful proposal
-Technology innovationAdam Schweigert leads discussion about INN's technology strategy, specifically tools, training and documentation, and what members want from INN
-Creative MarketingYou've done a branding campaign, but once the money for that is gone, what's next? Beyond membership campaigns and events, how do we attract more readers?
 | URL: http://ire.org/events-and-training/event/1574/2120/",Room 414-415,False
,Tell stories about your community with real estate data (Sponsored by Knight Foundation),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Skylar Olsen - Housing data is about more than just real estate. Get beyond the market reports and tell stories about your community: Watchdog government programs, profile up-and-coming neighborhoods, and inform your daily reports on transit, crime, and new development.
In this session, Zillow's senior economist, Skylar Olsen, will walk you through the data available about real estate, explain its caveats and show off her favorite tricky Excel shortcuts. She'll demo how she combines housing stats with census data to find trends relevant in local markets all over the country.
 | URL: http://ire.org/events-and-training/event/1574/1996/",Franklin 7,False
,Meet the first intelligence whistleblowers and the journalist who revealed their secrets,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Bonnie Raines, John Raines, James Steele, Betty Medsger, Johanna Hamilton, Keith Forsyth - **Moderated by James Steele, Vanity Fair
Before Daniel Ellsberg, Edward Snowden, Chelsea Manning and Wikileaks, there was the Citizens Commission to Investigate the FBI.
In March 1971, eight citizens broke into an FBI office in Media, Pennsylvania, took hundreds of secret files and shared them with the public. The files revealed massive political surveillance by the FBI against activists in the civil rights movement, the antiwar movement and every movement for rights, including the women's and gay rights movements.
Despite an intense five-year search for the burglars, the group was never found. Most of them revealed their identities for the first time in Betty Medsger's 2014 book, The Burglary: The Discovery of J. Edgar Hoover's Secret FBI and in filmmaker Johanna Hamilton's documentary film, 1971.
Three of the burglars will participate in a panel discussion with Medsger, a former Washington Post reporter who was one of the five recipients of the FBI files initially distributed by the Media burglars, and Hamilton.
There also will be a free screening of Hamilton's documentary, 1971, at 7 p.m. on June 4.
 | URL: http://ire.org/events-and-training/event/1574/1916/",Franklin 3&4,False
,Game on: Creating interactive experiences from investigations,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Jennifer Forsyth, Adam Auriemma, Asi Burak, Mitch Gelman - **Moderated by Jennifer Forsyth, The Wall Street Journal
The way newsrooms tell stories is changing, with many of them using virtual reality and video gaming techniques to find new audiences or enhance the experience of dedicated ones. This panel will discuss ways that VR and gaming can be used in serious journalism, exploring the benefits, the obstacles and the mistakes to avoid.
 | URL: http://ire.org/events-and-training/event/1574/2031/",Franklin 5&6,False
,Congressional oversight and investigations: What investigative reporters need to know about how things work on Capitol Hill,2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Jim McGee, Robert O'Harrow, Ed Pound - For investigative reporters, Congress can be a mother lode of leads, the starting point for award-winning journalism, and the source of hearings and reports that respond to their disclosures. Mining journalistic gold on Capital Hill requires a basic knowledge of the fragmented system of committees and agencies that support the work of committees, and understanding how congressional investigators operate.Two journalist who excel at this task, Edward T. Pound, a veteran investigative reporter and editor based in Washington, D. C., and Robert O'Harrow of the Washington Post, will discuss how they leveraged their knowledge of the work of congressional committees to develop sources, obtain singular information, and develop groundbreaking stories. Jim McGee, a former investigative reporter for the Miami Herald and the Washington Post who spent nine years as an investigator on committees in the House and Senate, will take you inside two major oversight investigations, including the Senate's review of the federal government's flawed response to Hurricane Katrina.He'll discuss some of the information-gathering strategies and tactics he has used to overcome efforts by agencies or corporations to prevent committees from gaining timely access to documents and technical data, and explain the role that congressional investigators play in pursuing the “long game” of overseeing federal programs and procurements. He'll provide a primer on the structure and mechanics of the oversight and investigations process with tips on how reporters outside Washington D. C can access and use information and reports generated by the Government Accountability Office (GAO), the Congressional Research Service (CRS), Inspector Generals (IG), and the work of appropriations and authorization committees.  
 | URL: http://ire.org/events-and-training/event/1574/2010/",Salon K,False
,Investigating child & family issues (Sponsored by Temple University School of Media and Communication),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"Karen de Sa, Marisa Kwiatkowski, Jenifer McKim, Alex Campbell - **Moderated by Jenifer McKim, New England Center for Investigative Reporting
From investigating domestic violence and the courts to overdrugging foster youth and covering mental illness there's a vast space for digging into stories related to the wellbeing of children and families in America. Award-winning reporters discuss their latest compelling projects and provide tips on how to find and fight for data and documents that break important stories in the social issues realm.
 | URL: http://ire.org/events-and-training/event/1574/1920/",Salon L,False
spreadsheets,"Access to your information: Subpoenas, shield laws and more",2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Amy Ginensky, Maud Beelman, Gregg Leslie, Mickey Osterreicher - **Moderated by Maud Beelman, The Associated Press
A panel of First Amendment attorneys guide you through the legal maze of protecting your sources and your journalism from subpoenas, court order threats and worse.
 | URL: http://ire.org/events-and-training/event/1574/2097/",Franklin 3&4,False
,Power couple: Data-driven reporting and people-driven narrative,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Steven Rich, Deborah Nelson, Carol Marbin Miller, Audra Burch, Michael Sallah - **Moderated by Deborah Nelson, University of Maryland
How to transform data analysis into data storytelling. This panel will cover reporting, writing and visual techniques for marrying the power of narrative with the power of numbers.
 | URL: http://ire.org/events-and-training/event/1574/1924/",Franklin 5&6,False
,Best of broadcast,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Tisha Thompson - Watch and listen as the photographers, editors and producers behind this year's IRE Award winners and finalists explain how they did it, what they would do differently and what they were really thinking when things got hard.
 | URL: http://ire.org/events-and-training/event/1574/1953/",Franklin 9&10,False
,On the beat: Government,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Anita Hofschneider, Challen Stephens, Terri Langford, Brett Blackledge - **Moderated by Terri Langford, The Texas Tribune
Learn how to cut through the tiresome meetings, and bureaucratic jargon and walk away with fantastic stories that have readers asking for more. 
 | URL: http://ire.org/events-and-training/event/1574/1927/",Salon L,False
,Management track: Guiding and editing the in-depth story,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Dwayne Bray, Gordon Witkin, Greg Borowski, Brent Walth - **Moderated by Greg Borowski, Milwaukee Journal Sentinel
For a project to reach its full potential, dozens of things have to go right. An experienced group of projects editors examines what is needed to build a successful investigation -- from vetting ideas to building teams, framing stories to rock-solid fact-checking, devising a social media push to developing a follow up plan.
 | URL: http://ire.org/events-and-training/event/1574/1926/",Salon K,False
,Show & Tell (Thursday - #5),2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Steve Eckert - **Moderated by Steve Eckert, KARE 11 Minneapolis/St. Paul
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2064/",Franklin 8,False
,Tools for small newsrooms that don't code,2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Alexandra Kanik, Grant Smith, Megan Luther, Alex Salkever - **Moderated by Megan Luther, IRE/NICAR
No programmer. No problem. We will show you free or inexpensive options for scraping, cleaning, data viz and database management.  
 | URL: http://ire.org/events-and-training/event/1574/1923/",Franklin 1&2,False
,Banjo: Report the news first (Sponsored by Knight Foundation),2015-06-04,4:50 p.m.,2015-06-04,5:50 p.m.,False,"Stacey Epstein - In today's world, events are captured by over 7 billion cell phones. Combine mobile access with social sharing and everyone becomes a reporter. Nearly every story is reported first by social media users. Banjo alerts you to these stories, but when breaking news happens, an alert is not enough. Banjo gives you the fastest way to get “eyes on the ground.” We show you everything that is happening from the people who are actually there, in real time, across all social networks. You'll be reporting the news as it unfolds with eyewitness sources. With Banjo, you'll turn signals into stories and get news out before anyone else.
Banjo seamlessly integrates into existing systems, like digital touch screens, Chyron, and Vizrt. From breaking news alerts to content for broadcast and digital, see how Banjo's complete solution gives you an advantage for the stories you want to tell.
 | URL: http://ire.org/events-and-training/event/1574/1928/",Franklin 7,False
,INN: Executive directors meeting,2015-06-04,5:00 p.m.,2015-06-04,6:00 p.m.,False,,Room 414-415,False
,Welcome reception (Co-Sponsored by Pepper Hamilton LLP and Calkins Media),2015-06-04,6:00 p.m.,2015-06-04,7:30 p.m.,False,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water.
",See printed schedule for room information,False
,IRE Conference Registration (Friday),2015-06-05,7:30 a.m.,2015-06-05,6:00 p.m.,False,"Registration will be located on the 4th floor of the Philadelphia Marriott Downtown. 
",Franklin Hall Foyer,False
,IRE Sales Table (Friday),2015-06-05,7:30 a.m.,2015-06-05,6:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.  Sales will be located on the 4th floor of the Philadelphia Marriott Downtown.
",Franklin Hall Foyer,False
,Geolocation for investigations,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Jack Gillum, Jan Gunnar Furuly, Stacey Epstein - New tools are harnessing social media feeds and allowing you to tap into conversations around the world. In this panel, we'll look at specific tools like Banjo, Creepy and Instagram's API. We'll show examples of how geo-location tools are being used for investigations by The Associated Press and Aftenposten in Norway and show why geolocation can help your find sources faster so you can beef-up your coverage during breaking news.
 | URL: http://ire.org/events-and-training/event/1574/1984/",Salon E,False
spreadsheets,Cleaning up data with OpenRefine,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Kate Golden - Learn to take filthy, stinking, messy data from an unhelpful government agency and transform it into something useful with the help of OpenRefine. If you often have to scrub and standardize huge spreadsheets, but you haven't delved into regular expressions, this program will change your life.
This session will be most useful if: You have some experience working with data in columns and rows, in spreadsheets or database managers.
 | URL: http://ire.org/events-and-training/event/1574/2020/",Room 404,False
,Show & Tell (Friday - #1),2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Charlotte Huffman - **Moderated by Charlotte Huffman, KYW/CBS3 Philadelphia
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Friday sign-ups open at 9 a.m. Thursday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2065/",Franklin 8,False
,How to buy a candidate (Sponsored by Rockefeller Brothers Fund),2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Bill Allison, Michael Beckel, Russ Choma, Edwin Bender - **Moderated by Michael Beckel, The Center for Public Integrity
More money than ever before is expected to pour into the 2016 election, from the White House on down the ballot. In a post-Citizens United world, donors have a plethora of options at their disposal to boost their preferred politicos — including the official campaign committees, the party committees, super PACs and “dark money” groups. Panelists will outline the key differences between each of these fundraising vehicles. They will also show off tools such as FEC.gov, OpenSecrets.org and other useful websites that can help you see where all this money is coming from.
 | URL: http://ire.org/events-and-training/event/1574/1922/",Franklin 1&2,False
,Investigating migration and immigration (Sponsored by Dart Center for Journalism & Trauma),2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Sarah Stillman, Bruce Shapiro, Melissa del Bosque, Carlos Eduardo Huertas - **Moderated by Bruce Shapiro, Dart Center for Journalism & Trauma
Immigration and migration are by their nature cross-border stories. This panel will explore the challenges of developing sources and stories across the Americas, and among groups often overlooked by reporters.
 | URL: http://ire.org/events-and-training/event/1574/2109/",Franklin 5&6,False
,Mapping mini camp (pre-registration required),2015-06-05,9:00 a.m.,2015-06-05,6:00 p.m.,False,"David Herzog, Jennifer LaFleur, Brian Peterson - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*. 
Experienced IRE/NICAR and Esri trainers conduct this hands-on training using the latest version of ArcGIS. We will look at noteworthy stories that have used mapping and show you how to uncover stories using census and other data. You'll learn how to display data geographically; import and query data; geocode to merge databases with addresses into maps. Attendees will also learn how ArcGIS Online may help as a storytelling platform. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.  
Participants should have basic knowledge in using relational database programs such as Microsoft Access. Preregistration is required and seating is limited. Computers will be provided for the training.
*Attendees of the bootcamp have the option to receive the following discounts from Esri. (1) A free license of ArcGIS Desktop that will not time out and includes one year call-in technical support and upgrades at no cost. Call-in technical support and upgrades are available on a nominal fee basis in year two. (2) A free one-year subscription to ArcGIS Online that includes access to Esri's Community Analyst database. Please contact the Esri Media Relations team press@esri.comfor further information. (Please note that ArcGIS Desktop will only work on a Windows environment.)
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/1574/1892/",Room 402,False
,Wedgies: Social polling (Sponsored by Knight Foundation),2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Porter Haney - Polls are a great way to interact with readers and collect structured feedback in real time, eliminating the unorganized chaos of comments. In this session we'll explore how journalists and editors leverage polls to collect data from readers and leverage it for content, stories, and breaking news.
 | URL: http://ire.org/events-and-training/event/1574/1921/",Franklin 7,False
,The other half of the story: How reporters can use data to identify 'positive deviants' and add fresh angles to investigative stories,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Greg Borowski, David Bornstein, Claudia Rowe, Tina Rosenberg - Journalists normally use data to identify bad actors. But it's also worth looking at the positive deviants -  those who are getting better than expected outcomes. Looking at how they got those results takes away the excuses of the poor performers and can make investigations into wrongdoing more powerful. The panelists are journalists or editors who will explain how they have used this approach to strengthen or reframe investigations. 
 | URL: http://ire.org/events-and-training/event/1574/1972/",Salon D,False
,Broadcast: Investigative reporting at networks,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Josh Mankiewicz, Ira Rosen, Rhonda Schwartz, Lea Thompson - **Moderated by Lea Thompson, LT Productions
What are the stories that matter for network TV and how do you go about getting them? 
 | URL: http://ire.org/events-and-training/event/1574/1951/",Franklin 9&10,False
spreadsheets,Excel 1: Getting started with spreadsheets,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Jill Riepenhoff - In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it, filter it and conduct simple calculations like sum, average and median.
 | URL: http://ire.org/events-and-training/event/1574/2011/",Room 401,False
,Management track: Managing the multi-newsroom project,2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"John Kelly, Richard Pienciak, Ellen Weiss, Marina Walker Guevara - **Moderated by Ellen Weiss, Scripps Washington Bureau
It's tough enough putting all the pieces together for an investigative project done by one newsroom. When bringing together staff from multiple organizations, the challenges multiply quickly. This session looks at ways to create channels of communication, balance the needs of different constituencies and stay organized amid the chaos, whether the newsrooms are within one organization, one country, or spanning the globe.
 | URL: http://ire.org/events-and-training/event/1574/1936/",Franklin 3&4,False
,"Investigating economic development subsidies: Missing jobs, strained budgets and tense politics (Sponsored by Bloomberg)",2015-06-05,9:00 a.m.,2015-06-05,10:00 a.m.,False,"Gordon Russell, Lee Zurik, Greg LeRoy, Alejandra Cancino - **Moderated by Greg LeRoy, Good Jobs First
States and localities spend >$70 billion per year to attract and retain businesses – sometimes at hundreds of thousands of dollars per job – yet many deals fail to deliver. Economic development subsidies are often arcane and opaque, and the number and cost of high-profile “megadeals” (like Boeing and Tesla) have mushroomed. The costs are straining state budgets and becoming political hot potatoes in many states. Learn from three aggressive investigators from Louisiana and Illinois and a non-profit resource center dedicated to such research.
 | URL: http://ire.org/events-and-training/event/1574/1963/",Salon C,False
,"Freelance reporting with impact: How stories get attention, and results (Sponsored by Fund for Investigative Journalism)",2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Hella Winston, Isaiah Thompson, Maria Zamudio, Sandra Bartlett - **Moderated by Sandra Bartlett, independent journalist
This panel of freelance and independent media journalists — whose work has sparked significant impact — will share the secrets of their success. Learn how they generated traction on the issues they exposed and how they produced award-winning stories that got results.
 | URL: http://ire.org/events-and-training/event/1574/1941/",Franklin 5&6,False
,"Beyond Ferguson: Investigating schools, police and inequality (Sponsored by Temple University School of Media and Communication)",2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Nikole Hannah-Jones, Frances Robles, Kimbriell Kelly - The protests in Ferguson and Baltimore laid bare America's racial divide, forcing newsrooms across the country to dedicate significant resources to covering America's oldest problem: Race.
Still, we often write about race as a subject, rather than racial inequities as a thread through everyday life. What tools can provide more in-depth coverage about racial inequality, school segregation, housing and policing? We'll discuss past coverage and provide tools for investigating the racial divide.
Find out how The Washington Post answered the unspoken questions about police shootings: were the officers white and victims black? Do officers get charged for killing people? Learn what resources are available to dig deeper into how the economic recovery in housing differed for people of different races. Get tips for examining school segregation, local enforcement of fair housing laws and police use of lethal force.
In this session you'll hear from three reporters who have cut through the rhetoric on race to address hot-button issues.
 | URL: http://ire.org/events-and-training/event/1574/1944/",Salon D,False
,Backgrounding on deadline,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Kate Martin, James Neff - Someone is suddenly swept into a news event: a train crash, a natural disaster, a police shooting. Who is s/he? What's their story? Find out what websites and other resources you should use to quickly unveil this person's past and present -- whether you have only 15 minutes, an hour, a day or the luxury of a week. Find undiscovered social-media accounts and court records, and learn new search-engine tricks, all on the cheap.
 | URL: http://ire.org/events-and-training/event/1574/1930/",Franklin 1&2,False
,Scripter: The story begins here... (Sponsored by Knight Foundation),2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Altaf Khatri - Come to the debut presentation of the world's first visual aggregated data repository. Scripter's platform provides the ability to collect, organize, plot, analyze and present your data (text, documents, photos, video and audio) on a stunning graphical story canvas. Scripter is where the “Power of the Pen meets the Power of Technology.”
 | URL: http://ire.org/events-and-training/event/1574/1998/",Franklin 7,False
,Research independence day: Top 100 tips to liberate your searching,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Barbara Gray, Margot Williams - Muckrakers will leave with a basket full of the latest tools and tricks for public records research, online privacy and advanced search techniques, alerting services and personal web caching and archiving.
 | URL: http://ire.org/events-and-training/event/1574/1986/",Salon E,False
,Future threats: New avenues of investigative reporting in the fast-changing world of emerging global crises,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Deborah Nelson, Josh Meyer, Robert Eshelman, Andrew Revkin - **Moderated by Josh Meyer, Medill National Security Journalism Initiative
Some of the best and most important new investigative stories involve emerging threats like environmental/climate change, illegal resource exploitation, migration and refugees and food, water and energy security. Come hear from reporters covering these issues, and how they're using innovative tools, techniques and technologies like satellite imagery and drones to get their award-winning stories. â
 | URL: http://ire.org/events-and-training/event/1574/1965/",Salon C,False
,How reporters can best protect themselves and their sources,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Adam Goldman, Ross Garber, Joel Kurtzberg, Mark MacDougall - How do you know if your story might trigger a lawsuit or a leak investigation? Should you keep your notes or throw them out? How much do you tell your editors? Your colleagues? What are best email practices? Do you know what is privilege and who owns it? Hear from top defense lawyers and a Pulitzer-Prize winning investigative reporter who have been embroiled in these toxic investigations. 
 | URL: http://ire.org/events-and-training/event/1574/1937/",Franklin 3&4,False
,Under pressure: Real life in real time with breaking news,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Stephen Stock - Come experience the real heart pounding excitement of a breaking news simulation where your investigative reporting and computer assisted reporting skills will be put through the ringer and to the test as teams compete to see who can break real, enterprise news in a minute by minute breaking news scenario. Sharpen your skills or learn new techniques to take back to your newsroom to help your team win the day the next time a big breaking news story happens in your backyard. This class can be useful to anyone from novice beginners to experienced internet jockeys. See how good your skills really are.
 | URL: http://ire.org/events-and-training/event/1574/2021/",Room 404,False
,Broadcast: How to get people to talk,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Scott Friedman, Keli Rabon, Scott Zamost - Whether it's a top official at the FBI or IRS, the Mormon Church or an accused sex offender, there are proven methods to persuade people to go on camera. We'll reveal the secrets behind landing the interview that no one thought would happen. 
 | URL: http://ire.org/events-and-training/event/1574/1907/",Franklin 9&10,False
,Show & Tell (Friday - #2),2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Jim Strickland - **Moderated by Jim Strickland, WSB-Atlanta
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Friday sign-ups open at 9 a.m. Thursday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2066/",Franklin 8,False
spreadsheets,Excel 2: Functions and pivot tables,2015-06-05,10:10 a.m.,2015-06-05,11:10 a.m.,False,"Andrew Lehren - In this class you'll learn how to use formulas to analyze data with the eye of a journalist using calculations like change, percent change and rates. It will also focus on the power of pivot tables for analysis in minutes rather than hours.
 | URL: http://ire.org/events-and-training/event/1574/2012/",Room 401,False
,Investigating the justice system (Sponsored by Criminal Justice Journalists),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Ted Gest, Beth Hundsdorfer, John Hollway, George Pawlaczyk, John Roman, Douglas Starr - **Moderated by Ted Gest, Criminal Justice Journalists
Investigative reporters have long covered errors in the justice system, but only recently have scholars and other experts been systematically examining these mistakes to discover patterns, and ways that flaws can be corrected to prevent their repetition. The director of a University of Pennsylvania program, the Quattrone Center for the Fair Administration of Justice, will describe its approach, as will a journalist who has written about it. We also will hear from a criminologist who will discuss use of data in justice system investigations by journalists, and from two reporters who investigated Southern Illinois authorities' failure to bring felony sex crime cases. 
 | URL: http://ire.org/events-and-training/event/1574/1931/",Franklin 1&2,False
,"Adventures in the oil patch: Fracking, earthquakes and corporate influence",2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Ziva Branstetter, Lisa Song, Mike Soraghan - Join us for a wide-ranging discussion on watchdog stories you can do in your state tracking the influence and impact of the energy industry. We'll tell you how to report on induced earthquakes, spills, oilfield safety, pollution, weak regulation and corporate influence involving oil and gas operations. Whether you live in an oil or gas producing state or not, your readers and viewers are impacted by these issues and we'll tell you how to frame them. 
 | URL: http://ire.org/events-and-training/event/1574/1943/",Franklin 5&6,False
,Muckraking around the world,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Dayo Aiyetan, Wahyu Dhyatmika, Jan Gunnar Furuly, David Kaplan, Rana Sabbagh - **Moderated by David Kaplan, Global Investigative Journalism Network
Investigative reporting has gone global. Come hear four pioneers from Africa, Asia, Europe and the Middle East talk about the extraordinary successes -- and daunting challenges -- as muckraking spreads worldwide. And find out how to get connected to your colleagues overseas when your stories move across borders. Among our guests are the hosts of the next Global Investigative Journalism Conference; the director of the Middle East's premier investigative journalism organization; a Nieman fellow from Indonesia's top investigative magazine; and the founder of Nigeria's investigative reporting center. 
 | URL: http://ire.org/events-and-training/event/1574/1976/",Salon D,False
,Internet site fingerprints: Looking for telltale signs that suggest connections between websites (Sponsored by Knight Foundation),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Griff Palmer - A company presenting itself as a legitimate, global corporate citizen has been described to you by former insiders as an Internet fraud scheme. The former insiders have identified several Web sites that they say are part of the scheme, and have given you rock-solid evidence. Your sources tell you their confirmed sites are part of a much larger network. The company allegedly behind it all has a history of litigiousness, and has gone to great lengths to cover up its alleged ties to the fraudulent network. Griff Palmer will show how widely available Internet tools can help solidify such a story.
 | URL: http://ire.org/events-and-training/event/1574/1999/",Franklin 7,False
,Show & Tell (Friday - #3),2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Kevin Keeshan - **Moderated by Kevin Keeshan, NBCUniversal Owned Television Stations
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Friday sign-ups open at 9 a.m. Thursday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2067/",Franklin 8,False
spreadsheets,Getting data into Excel,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Patti DiVincenzo - Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel.
 | URL: http://ire.org/events-and-training/event/1574/2014/",Room 401,False
,Open records laws: Strategies for successful negotiations,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Hannah Levintova, Terry Mutchler, Carrie McGuire, Joshua B. Pribanic - **Moderated by Carrie McGuire, Office of Government Information Services (OGIS)
Want to get records of the gas and oil industry drilling in your backyard? How about records involving police brutality at your local department? Want to report on what's in the water storage ponds at Marcelleis Shale gas sites? If a private company doing business with a public agency generates a record, can that be accessed?  A veteran team of investigative journalists and national open records expert will offer hands on advice on obtaining public records at a time when all levels of governments are clamping down on record access. Learn how to successfully navigate the ins and outs of state and federal FOIA laws and win access in real time.
 | URL: http://ire.org/events-and-training/event/1574/2100/",Salon C,False
,"SHOWCASE PANEL: Sexual assault investigations - Empathy, accuracy, transparency (Sponsored by Dart Center for Journalism & Trauma)",2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Sheila Coronel, Steve Coll, Bruce Shapiro, Teresa Braeckel, Elana Newman, Nicole Noren - **Moderated by Bruce Shapiro, Dart Center for Journalism & Trauma
The controversy over Rolling Stone's retracted story ""A Rape On Campus"" raised new challenges for investigations involving sexual assault at universities and other institutions. Is it possible to report with empathy toward victims and still meet standards of accuracy and fairness? What obligations do reporters have toward students who press sexual assault claims - and to those who are accused? What are the best practices in covering campus sexual assault stories, and what are the lessons learned from the Rolling Stone debacle? 
 | URL: http://ire.org/events-and-training/event/1574/1989/",Salon E,False
,Broadcast: Visual video toolbox,2015-06-05,11:20 a.m.,2015-06-05,12:20 p.m.,False,"Jeremy Jojola, Bryan Staples, Evan Stulberger - You've got a great story. A real blockbuster. Just one problem. There's. No. Video.
How do you *show* concepts like fraud, waste, and conflict of interest in the investigative video story? 
This panel of expert storytellers will share creative methods and tools, revealing strategies and memorable techniques that won't just bring video-poor stories to life, but will transform them into clear, powerful pieces that connect with audiences.
 | URL: http://ire.org/events-and-training/event/1574/1954/",Franklin 9&10,False
